Time;W
00:00:00;48319.595238095244
00:15:00;47306.904761904756
00:30:00;50185.952380952374
00:45:00;47842.61904761906
01:00:00;48698.571428571435
01:15:00;51611.42857142857
01:30:00;52406.90476190476
01:45:00;55448.38095238096
02:00:00;58032.00000000001
02:15:00;59589.047619047626
02:30:00;61856.00000000001
02:45:00;73529.42857142858
03:00:00;77081.90476190476
03:15:00;69718.57142857143
03:30:00;68728.28571428572
03:45:00;73787.28571428571
04:00:00;69318.71428571429
04:15:00;69430.47619047618
04:30:00;70746.47619047618
04:45:00;74880.66666666666
05:00:00;82025.71428571429
05:15:00;90762.85714285714
05:30:00;96871.66666666667
05:45:00;105036.42857142858
06:00:00;115420.71428571428
06:15:00;123764.14285714287
06:30:00;131586.42857142855
06:45:00;135036.1904761905
07:00:00;136004.90476190476
07:15:00;138304.33333333334
07:30:00;142882.04761904763
07:45:00;146920.9523809524
08:00:00;158352.33333333334
08:15:00;158336.19047619047
08:30:00;161507.38095238098
08:45:00;160198.66666666663
09:00:00;159874.19047619047
09:15:00;159524.0476190476
09:30:00;154527.85714285713
09:45:00;164842.38095238098
10:00:00;158021.42857142855
10:15:00;154466.90476190476
10:30:00;148960.2380952381
10:45:00;145344.76190476186
11:00:00;151443.14285714284
11:15:00;155485.09523809524
11:30:00;159391.57142857145
11:45:00;153441.4285714286
12:00:00;150414.8095238095
12:15:00;148792.95238095237
12:30:00;153320.57142857142
12:45:00;156721.38095238098
13:00:00;156993.52380952382
13:15:00;141426.19047619047
13:30:00;144702.2380952381
13:45:00;141065.71428571426
14:00:00;131231.3333333333
14:15:00;122462.95238095238
14:30:00;105733.90476190476
14:45:00;55240.0
15:00:00;0.0
15:15:00;0.0
15:30:00;0.0
15:45:00;0.0
16:00:00;0.0
16:15:00;0.0
16:30:00;0.0
16:45:00;0.0
17:00:00;0.0
17:15:00;0.0
17:30:00;0.0
17:45:00;0.0
18:00:00;0.0
18:15:00;0.0
18:30:00;0.0
18:45:00;0.0
19:00:00;0.0
19:15:00;0.0
19:30:00;0.0
19:45:00;0.0
20:00:00;0.0
20:15:00;0.0
20:30:00;0.0
20:45:00;0.0
21:00:00;0.0
21:15:00;0.0
21:30:00;0.0
21:45:00;0.0
22:00:00;0.0
22:15:00;0.0
22:30:00;0.0
22:45:00;0.0
23:00:00;0.0
23:15:00;0.0
23:30:00;0.0
23:45:00;0.0
00:00:00;0.0
