Tcond,Tevap,Q,P,EER,hotWaterFlow,coldWaterFlow,load
25,5,169.4,26.7,6.33,8.1064,11.5425,100
30,5,166.4,29,5.74,7.9761,11.1253,100
35,5,163.1,31.7,5.15,7.8353,10.6569,100
40,5,159.4,34.7,4.59,7.6706,10.1253,100
45,5,154.9,37.9,4.09,7.4694,9.5178,100
50,5,149.5,41.3,3.62,7.2189,8.8211,100
55,5,142.7,44.5,3.21,6.9058,8.0239,100
25,8,182.5,27.4,6.66,8.7322,12.5725,100
30,8,179.3,29.6,6.06,8.5931,12.1408,100
35,8,175.7,32.2,5.46,8.4375,11.6486,100
40,8,171.5,35.1,4.88,8.2522,11.0831,100
45,8,166.5,38.3,4.35,8.0247,10.4322,100
50,8,160.3,41.6,3.86,7.7419,9.6831,100
55,8,152.7,44.8,3.41,7.3906,8.8233,100
25,11,195.9,28.1,6.97,9.3753,13.6333,100
30,11,192.5,30.2,6.37,9.2281,13.1869,100
35,11,188.7,32.8,5.75,9.0581,12.6706,100
40,11,184.1,35.7,5.16,8.8528,12.0717,100
45,11,178.5,38.8,4.6,8.5992,11.3775,100
50,11,171.6,41.9,4.09,8.2844,10.5758,100
55,11,163.2,45.1,3.62,7.8953,9.6536,100
30,14,206.3,31,6.66,9.8933,14.2842,100
35,14,202.2,33.5,6.04,9.7094,13.7439,100
40,14,197.1,36.3,5.43,9.4847,13.1114,100
45,14,191,39.3,4.85,9.2056,12.3739,100
50,14,183.5,42.4,4.33,8.8592,11.5192,100
55,14,174.3,45.5,3.83,8.4322,10.5347,100
30,17,221.1,31.8,6.95,10.6017,15.4525,100
35,17,216.6,34.3,6.31,10.4047,14.8883,100
40,17,211.2,37.1,5.7,10.1606,14.2222,100
45,17,204.5,40,5.11,9.8561,13.4414,100
50,17,196.3,43.1,4.56,9.4789,12.5339,100
55,17,186.4,46.1,4.05,9.015,11.4869,100
30,18,226.3,32.1,7.04,10.8497,15.8614,100
35,18,221.7,34.6,6.4,10.6483,15.2889,100
40,18,216.1,37.4,5.78,10.3978,14.6117,100
45,18,209.2,40.3,5.19,10.0853,13.8167,100
50,18,200.8,43.3,4.64,9.6975,12.8917,100
55,18,190.6,46.3,4.12,9.2214,11.8236,100
